x	y	a
-112.929	45.8735	-0.00889397
-122.893	49.4885	-0.0101703
-133.664	53.4208	-0.0116677
-145.905	56.7935	-0.0129274
-158.118	60.3499	-0.0141115
-171.238	64.242	-0.0156238
-184.599	68.0508	-0.0170777
-198.09	71.6512	-0.0179895
-212.378	75.3937	-0.0189613
-227.512	79.3494	-0.0201332
-243.253	83.0719	-0.0210363
-259.016	87.0021	-0.0219701
-275.321	92.1031	-0.0235817
-291.482	97.7857	-0.0254272
-307.319	104.012	-0.0275302
-323.128	110.355	-0.0298458
-338.751	116.566	-0.0320673
-354.339	122.637	-0.0341792
-369.893	128.871	-0.0363377
-385.452	135.175	-0.0383348
-401.304	141.51	-0.0402947
-417.017	147.575	-0.0419943
-432.889	152.603	-0.0431513
-448.729	157.359	-0.0442473
-465.661	160.786	-0.0448616
-484.577	163.391	-0.0450458
-505.339	165.305	-0.0449195
-527.198	167.019	-0.0449247
-549.988	168.036	-0.0451278
-573.025	169.466	-0.0458474
-596.764	170.808	-0.0466124
-621.275	172.355	-0.0475499
-646.51	173.542	-0.048628
-672.607	174.948	-0.0500884
-699.57	176.972	-0.052059
-726.45	179.109	-0.0541206
-752.98	181.81	-0.0567433
-779.172	185.056	-0.0599081
-805.914	188.875	-0.0634899
-832.93	193.075	-0.0672257
-860.664	197.333	-0.0711477
-889.424	202.342	-0.0755806
-919.293	207.967	-0.0805161
-949.304	214.062	-0.0857655
-979.513	220.351	-0.0911248
-1009.45	226.775	-0.0966108
-1039.3	233.255	-0.102441
-1068.87	239.813	-0.10817
-1097.92	245.857	-0.113011
-1126.36	251.755	-0.117512
-1153.87	257.272	-0.121438
-1192.17	265.305	-0.126352
-1230.01	273.544	-0.131223
-1267.49	281.604	-0.135772
-1304.57	289.642	-0.139792
-1341.19	297.518	-0.14341
-1377.68	305.299	-0.146542
-1413.72	313.19	-0.149459
-1448.51	320.841	-0.152333
-1481.99	328.613	-0.155481
-1514.58	336.166	-0.158801
-1545.74	343.609	-0.162278
-1575.48	350.905	-0.165627
-1604.15	358.045	-0.168692
-1631.82	365.025	-0.171643
-1659.01	371.921	-0.17459
-1685.98	378.659	-0.17748
-1712.22	385.183	-0.180144
-1737.74	391.781	-0.182994
-1762.68	398.683	-0.185923
-1787.59	405.614	-0.188525
-1812.24	412.893	-0.191388
-1836.46	420.193	-0.194144
-1860.36	427.258	-0.196554
-1883.67	434.399	-0.198871
-1906.56	441.531	-0.201125
-1928.74	448.739	-0.203173
-1949.9	455.885	-0.204941
-1970.13	463.126	-0.206506
-1989.82	470.422	-0.207854
-2009.04	477.707	-0.209141
-2027.24	485.347	-0.210702
-2043.91	493.543	-0.213337
-2058.46	501.711	-0.216346
-2070.69	510.026	-0.220702
-2081.03	517.667	-0.224829
-2091	524.778	-0.228976
-2100.55	532.222	-0.233284
-2109.81	539.783	-0.237513
-2118.8	547.385	-0.241676
-2127.26	555.228	-0.245985
-2135.07	562.963	-0.250153
-2142.28	570.548	-0.25426
-2148.84	577.923	-0.258252
-2155.07	585.243	-0.262117
-2160.64	592.567	-0.265848
-2164.45	599.117	-0.269026
-2166.77	605.431	-0.271967
-2167.62	611.234	-0.274445
