x	y	a
-0.502365	-0.458625	-0.000312629
-0.159137	0.380816	-0.000380009
-0.440974	1.88123	-0.000234355
-1.46677	2.40374	6.61315e-05
-2.48931	3.78406	-0.000153888
-3.51629	4.26044	-0.000300032
-5.28061	4.78796	-0.000284151
-7.14686	5.50024	-0.000418154
-9.39727	4.85632	-0.000431013
-11.6757	3.70659	-2.92003e-06
-12.9605	3.42147	0.000557471
-13.3862	3.37924	0.000607396
-13.0096	2.52805	0.000123324
-13.7226	2.40249	0.000338933
-8.37358	5.28136	0.000591526
-12.1987	11.9603	-0.00165688
-31.3396	27.3812	-0.005478
-45.7757	35.6097	-0.0102545
-41.7905	34.2421	-0.00832961
-34.6781	29.0494	-0.00386396
-34.3649	29.1168	-0.00334991
-34.4809	29.4745	-0.00425743
-32.5018	29.1515	-0.00386667
-32.6232	29.0853	-0.00337112
-38.1223	31.3468	-0.00516983
-45.7106	34.4844	-0.00649752
-50.5212	37.3394	-0.00776132
-48.3315	33.8512	-0.00507678
-44.4732	30.5933	-0.00511007
-46.2904	30.7954	-0.00678322
-51.9382	29.8243	-0.00514984
-51.5297	29.3918	-0.00325425
-49.3684	31.1775	-0.00340736
-55.6222	34.394	-0.00401872
-73.1197	39.7825	-0.00865647
-83.3291	36.6324	-0.00303898
-93.9074	39.576	-0.00545536
-123.984	59.3964	-0.0186687
-147.705	54.3789	-0.00840065
-159.541	46.1936	0.00336602
-192.369	63.3173	-0.00902363
-236.777	88.0669	-0.0122902
-262.797	99.4775	-0.0121514
-270.255	105.361	-0.0104525
-312.188	108.301	-0.0161051
-379.299	135.391	-0.0252346
-424.979	138.762	-0.0287557
-458.646	148.034	-0.0346709
-508.682	159.452	-0.0512911
-559.216	186.411	-0.0545277
-587.409	204.635	-0.061346
-631.047	233.854	-0.0752656
-693.765	257.896	-0.0895308
-794.684	235.552	-0.0796911
-817.591	252.394	-0.0780509
-892.859	278.305	-0.0987994
-932.816	281.344	-0.0985001
-967.054	276.876	-0.0699618
-1041.07	292.459	-0.0753265
-1120.46	312.733	-0.0892729
-1187.71	306.425	-0.0752234
-1220.55	326.741	-0.078931
-1286.23	408.365	-0.123501
-1309.63	455.795	-0.141696
-1320.88	502.516	-0.162121
-1350.7	522.638	-0.180357
-1369.87	526.509	-0.178687
-1398.73	529.392	-0.175676
-1427.61	552.767	-0.183114
-1458.97	570.144	-0.176138
-1510.94	584.947	-0.177489
-1532.65	578.215	-0.162664
-1575.71	514.611	-0.126455
-1605.01	504.503	-0.124256
-1718.64	414.443	-0.0903218
-1903.29	358.704	-0.0588602
-2083.23	310.806	-0.0353195
-2210.39	299.021	-0.0453208
-2327.54	247.301	-0.0609755
-2392.96	282.451	-0.102694
-2495.89	278.211	-0.107809
-2606.64	297.639	-0.123487
-2715.81	270.916	-0.137038
-2838.7	291.571	-0.171299
-2964.39	347.028	-0.217587
-3011.29	360.75	-0.229355
-3034.56	414.089	-0.2823
-3057.83	467.428	-0.335244
-3159.24	525.024	-0.378691
-3237.34	566.802	-0.399714
-3356.72	580.621	-0.424126
-3506.57	658.146	-0.478972
-3667.25	725.426	-0.534579
-3740.31	780.896	-0.573965
-3819.19	811.542	-0.594897
-3853.25	837.087	-0.617777
-3905.45	855.337	-0.662105
-3936.6	875.937	-0.663922
-3945.05	838.152	-0.587455
-3941.61	835.661	-0.56313
-3905.04	808.923	-0.513985
-3869.17	810.948	-0.496585
-3822.19	832.455	-0.49243
-3785.67	815.995	-0.45963
-3746.69	814.192	-0.406017
-3700.46	799.304	-0.365522
-3689.44	790.073	-0.31663
-3645.43	801.774	-0.294957
-3520.7	778.312	-0.290607
-3391.07	789.852	-0.318376
-3303.22	766.568	-0.335378
-3159.7	755.092	-0.350577
-3017.68	740.34	-0.337713
-2908.88	723.63	-0.309381
-2807.77	707.363	-0.29772
-2754.82	701.748	-0.297044
-2735.93	692.576	-0.293607
-2682.09	686.265	-0.274532
-2622.56	702.055	-0.298043
-2560.72	731.255	-0.304167
-2550.93	729.152	-0.266721
-2523.63	764.258	-0.292506
-2481.41	766.774	-0.28256
-2446.51	742.761	-0.247312
-2386.78	750.344	-0.237341
-2350.15	751.676	-0.232845
-2285.26	762.495	-0.213412
-2187.71	758.99	-0.186254
-2091.56	765.225	-0.163221
-2033.79	767.508	-0.141243
-1986.94	766.603	-0.136753
-1890.31	801.457	-0.162776
-1735.56	857.152	-0.269429
-1518.53	856.16	-0.307316
-1290.96	874.173	-0.443914
-1116.93	811.588	-0.425538
-1090.55	754.798	-0.421837
-1058.42	791.477	-0.440622
-1059.62	823.028	-0.445745
-1055.32	822.138	-0.428863
-1014.49	838.34	-0.431902
-981.008	844.578	-0.429976
-964.79	854.191	-0.427094
-925.848	844.357	-0.415371
-898.98	844.606	-0.400786
-874.519	848.051	-0.392916
-764.39	796.921	-0.346278
-659.541	776.534	-0.325797
-544.08	734.148	-0.284898
-464.633	734.01	-0.289998
-394.516	695.159	-0.269975
-376.531	657.497	-0.259326
-322.48	625.785	-0.24891
-270.116	614.831	-0.244601
-231.541	576.709	-0.2423
-181.196	574.417	-0.248145
-144.489	552.492	-0.23986
-69.6108	557.045	-0.21226
-10.5757	548.344	-0.205964
47.4734	533.596	-0.195825
102.415	520.923	-0.183149
147.083	514.117	-0.173628
186.1	506.229	-0.172367
222.69	496.226	-0.171459
271.995	484.023	-0.173773
331.846	463.149	-0.169383
381.136	448.508	-0.168722
418.219	433.138	-0.163957
438.432	425.025	-0.160541
439.047	426.814	-0.163055
430.398	432.136	-0.163675
423.551	441.827	-0.169536
427.928	448.161	-0.17178
430.712	448.451	-0.16942
426.455	446.715	-0.16974
417.648	445.85	-0.172469
410.961	447.216	-0.176791
406.872	450.856	-0.181968
400.944	449.77	-0.184144
396.546	447.783	-0.186394
392.325	441.196	-0.187594
390.237	431.095	-0.186243
391.571	418.612	-0.183779
391.665	413.889	-0.185084
390.63	412.115	-0.186134
388.082	410.758	-0.185791
382.516	416.486	-0.187184
377.111	418.345	-0.186611
374.623	421.639	-0.186617
374.403	422.081	-0.186609
374.767	418.526	-0.18453
373.137	417.025	-0.183484
375.142	417.175	-0.183637
381.471	416.742	-0.183536
380.791	408.446	-0.182108
